YR,LC,RP,CLT,MKMGHA
2009,KN,1,EarlyCanada,56.236
2009,KN,1,CalhounGray,74.167
2009,KN,1,StarbriteF1,32.601
2009,KN,1,CrimsonSweet,74.167
2009,KN,1,GeorgiaRattlesnake,64.794
2009,KN,1,FiestaF1,70.907
2009,KN,1,Mickylee,57.051
2009,KN,1,SugarBaby,28.118
2009,KN,1,Legacy,68.054
2009,KN,1,Quetzali,57.866
2009,KN,2,EarlyCanada,56.236
2009,KN,2,GeorgiaRattlesnake,64.387
2009,KN,2,Quetzali,64.794
2009,KN,2,Mickylee,96.58
2009,KN,2,CalhounGray,38.306
2009,KN,2,FiestaF1,85.577
2009,KN,2,StarbriteF1,69.684
2009,KN,2,SugarBaby,19.153
2009,KN,2,CrimsonSweet,56.236
2009,KN,2,Legacy,72.537
2009,KN,3,FiestaF1,86.8
2009,KN,3,Quetzali,49.309
2009,KN,3,CrimsonSweet,59.496
2009,KN,3,SugarBaby,50.531
2009,KN,3,EarlyCanada,28.933
2009,KN,3,Legacy,103.1
2009,KN,3,StarbriteF1,72.537
2009,KN,3,GeorgiaRattlesnake,79.057
2009,KN,3,Mickylee,68.869
2009,KN,3,CalhounGray,53.384
2009,KN,4,CrimsonSweet,61.942
2009,KN,4,EarlyCanada,86.8
2009,KN,4,StarbriteF1,107.583
2009,KN,4,Mickylee,58.274
2009,KN,4,Quetzali,73.759
2009,KN,4,SugarBaby,52.161
2009,KN,4,FiestaF1,77.427
2009,KN,4,CalhounGray,109.213
2009,KN,4,GeorgiaRattlesnake,71.722
2009,KN,4,Legacy,81.502
2009,CI,1,Mickylee,37.898
2009,CI,1,CrimsonSweet,0
2009,CI,1,FiestaF1,59.904
2009,CI,1,CalhounGray,108.805
2009,CI,1,GeorgiaRattlesnake,59.904
2009,CI,1,Legacy,66.832
2009,CI,1,StarbriteF1,47.679
2009,CI,1,Quetzali,56.236
2009,CI,1,EarlyCanada,68.054
2009,CI,1,SugarBaby,55.014
2009,CI,2,CalhounGray,59.496
2009,CI,2,GeorgiaRattlesnake,46.049
2009,CI,2,Legacy,39.528
2009,CI,2,EarlyCanada,44.826
2009,CI,2,CrimsonSweet,45.234
2009,CI,2,Quetzali,43.196
2009,CI,2,SugarBaby,56.644
2009,CI,2,Mickylee,62.757
2009,CI,2,FiestaF1,59.904
2009,CI,2,StarbriteF1,97.395
2009,CI,3,StarbriteF1,98.617
2009,CI,3,Quetzali,33.823
2009,CI,3,CrimsonSweet,33.008
2009,CI,3,CalhounGray,32.193
2009,CI,3,Mickylee,24.858
2009,CI,3,EarlyCanada,55.014
2009,CI,3,SugarBaby,21.598
2009,CI,3,FiestaF1,59.089
2009,CI,3,Legacy,46.049
2009,CI,3,GeorgiaRattlesnake,51.346
2009,CI,4,SugarBaby,36.268
2009,CI,4,CalhounGray,57.866
2009,CI,4,GeorgiaRattlesnake,53.384
2009,CI,4,CrimsonSweet,24.858
2009,CI,4,FiestaF1,98.617
2009,CI,4,Legacy,57.459
2009,CI,4,Quetzali,29.748
2009,CI,4,EarlyCanada,35.861
2009,CI,4,StarbriteF1,68.054
2009,CI,4,Mickylee,72.129
2009,SC,1,GeorgiaRattlesnake,86.331
2009,SC,1,Legacy,109.967
2009,SC,1,CalhounGray,95.215
2009,SC,1,Mickylee,102.407
2009,SC,1,StarbriteF1,80.83
2009,SC,1,Quetzali,84.355
2009,SC,1,FiestaF1,80.121
2009,SC,1,SugarBaby,74.228
2009,SC,1,EarlyCanada,72.374
2009,SC,1,CrimsonSweet,42.198
2009,SC,2,GeorgiaRattlesnake,44.357
2009,SC,2,StarbriteF1,124.189
2009,SC,2,CalhounGray,121.397
2009,SC,2,FiestaF1,94.237
2009,SC,2,SugarBaby,53.852
2009,SC,2,Mickylee,70.601
2009,SC,2,EarlyCanada,30.522
2009,SC,2,CrimsonSweet,97.578
2009,SC,2,Legacy,91.567
2009,SC,2,Quetzali,88.348
2009,SC,3,CalhounGray,98.842
2009,SC,3,EarlyCanada,41.688
2009,SC,3,StarbriteF1,100.329
2009,SC,3,Mickylee,67.076
2009,SC,3,Quetzali,50.246
2009,SC,3,CrimsonSweet,82.399
2009,SC,3,GeorgiaRattlesnake,74.513
2009,SC,3,Legacy,69.562
2009,SC,3,SugarBaby,46.252
2009,SC,3,FiestaF1,101.857
2009,SC,4,CalhounGray,102.041
2009,SC,4,Legacy,83.328
2009,SC,4,SugarBaby,39.793
2009,SC,4,CrimsonSweet,77.305
2009,SC,4,StarbriteF1,144.666
2009,SC,4,EarlyCanada,78.486
2009,SC,4,Quetzali,95.928
2009,SC,4,GeorgiaRattlesnake,143.668
2009,SC,4,FiestaF1,82.093
2009,SC,4,Mickylee,90.549
2009,FL,1,CalhounGray,103.316
2009,FL,1,StarbriteF1,98.132
2009,FL,1,CrimsonSweet,79.163
2009,FL,1,Legacy,115.95
2009,FL,1,SugarBaby,70.393
2009,FL,1,EarlyCanada,88.616
2009,FL,1,GeorgiaRattlesnake,98.554
2009,FL,1,FiestaF1,118.457
2009,FL,1,Quetzali,81.374
2009,FL,1,Mickylee,76.863
2009,FL,2,CalhounGray,152.036
2009,FL,2,Legacy,120.695
2009,FL,2,CrimsonSweet,147.984
2009,FL,2,SugarBaby,81.751
2009,FL,2,Quetzali,92.686
2009,FL,2,StarbriteF1,126.095
2009,FL,2,GeorgiaRattlesnake,96.119
2009,FL,2,Mickylee,86.136
2009,FL,2,EarlyCanada,107.27
2009,FL,2,FiestaF1,110.397
2009,FL,3,CalhounGray,94.223
2009,FL,3,Quetzali,86.918
2009,FL,3,FiestaF1,102.984
2009,FL,3,CrimsonSweet,102.912
2009,FL,3,StarbriteF1,107.594
2009,FL,3,Mickylee,73.358
2009,FL,3,Legacy,76.494
2009,FL,3,SugarBaby,81.086
2009,FL,3,EarlyCanada,89.02
2009,FL,3,GeorgiaRattlesnake,127.092
2009,FL,4,StarbriteF1,172.065
2009,FL,4,CrimsonSweet,111.987
2009,FL,4,Mickylee,79.549
2009,FL,4,Legacy,108.744
2009,FL,4,GeorgiaRattlesnake,86.747
2009,FL,4,FiestaF1,106.407
2009,FL,4,SugarBaby,89.398
2009,FL,4,EarlyCanada,77.546
2009,FL,4,CalhounGray,77.078
2009,FL,4,Quetzali,56.717
2009,TX,1,Quetzali,50.077
2009,TX,1,StarbriteF1,56.476
2009,TX,1,EarlyCanada,7.213
2009,TX,1,SugarBaby,15.266
2009,TX,1,FiestaF1,68.601
2009,TX,1,GeorgiaRattlesnake,79.305
2009,TX,1,CrimsonSweet,34.842
2009,TX,1,Legacy,78.364
2009,TX,1,Mickylee,88.968
2009,TX,1,CalhounGray,92.646
2009,TX,2,SugarBaby,22.829
2009,TX,2,Legacy,45.166
2009,TX,2,CrimsonSweet,21.444
2009,TX,2,StarbriteF1,93.552
2009,TX,2,FiestaF1,32.636
2009,TX,2,EarlyCanada,21.639
2009,TX,2,Quetzali,27.688
2009,TX,2,Mickylee,33.171
2009,TX,2,GeorgiaRattlesnake,102.626
2009,TX,2,CalhounGray,27.606
2009,TX,3,Mickylee,26.281
2009,TX,3,CrimsonSweet,28.417
2009,TX,3,SugarBaby,18.185
2009,TX,3,EarlyCanada,43.982
2009,TX,3,Legacy,48.693
2009,TX,3,Quetzali,27.753
2009,TX,3,StarbriteF1,35.951
2009,TX,3,GeorgiaRattlesnake,22.362
2009,TX,3,FiestaF1,33.908
2009,TX,3,CalhounGray,21.012
2009,TX,4,SugarBaby,16.182
2009,TX,4,CalhounGray,54.464
2009,TX,4,Quetzali,13.423
2009,TX,4,EarlyCanada,14.144
2009,TX,4,FiestaF1,34.149
2009,TX,4,StarbriteF1,43.376
2009,TX,4,CrimsonSweet,0
2009,TX,4,GeorgiaRattlesnake,45.01
2009,TX,4,Legacy,30.985
2009,TX,4,Mickylee,12.914
2010,KN,1,CalhounGray,50.531
2010,KN,1,FiestaF1,70.499
2010,KN,1,GeorgiaRattlesnake,59.089
2010,KN,1,Legacy,64.794
2010,KN,1,CrimsonSweet,50.531
2010,KN,1,StarbriteF1,75.797
2010,KN,1,Quetzali,49.309
2010,KN,1,Mickylee,52.569
2010,KN,1,EarlyCanada,46.456
2010,KN,1,SugarBaby,43.604
2010,KN,2,SugarBaby,41.974
2010,KN,2,Legacy,70.092
2010,KN,2,CalhounGray,72.944
2010,KN,2,StarbriteF1,70.907
2010,KN,2,EarlyCanada,49.309
2010,KN,2,Quetzali,35.861
2010,KN,2,Mickylee,48.086
2010,KN,2,GeorgiaRattlesnake,59.089
2010,KN,2,CrimsonSweet,61.534
2010,KN,2,FiestaF1,60.311
2010,KN,3,Quetzali,46.456
2010,KN,3,SugarBaby,50.939
2010,KN,3,Mickylee,50.531
2010,KN,3,FiestaF1,77.427
2010,KN,3,GeorgiaRattlesnake,69.277
2010,KN,3,CrimsonSweet,50.939
2010,KN,3,EarlyCanada,68.869
2010,KN,3,StarbriteF1,68.054
2010,KN,3,CalhounGray,87.207
2010,KN,3,Legacy,72.129
2010,KN,4,Quetzali,63.164
2010,KN,4,StarbriteF1,105.138
2010,KN,4,SugarBaby,58.681
2010,KN,4,Legacy,82.725
2010,KN,4,GeorgiaRattlesnake,64.387
2010,KN,4,FiestaF1,62.349
2010,KN,4,CalhounGray,72.537
2010,KN,4,Mickylee,54.606
2010,KN,4,EarlyCanada,57.051
2010,KN,4,CrimsonSweet,67.239
2010,CI,1,Quetzali,72.944
2010,CI,1,CrimsonSweet,74.982
2010,CI,1,FiestaF1,97.395
2010,CI,1,EarlyCanada,60.719
2010,CI,1,Mickylee,65.202
2010,CI,1,GeorgiaRattlesnake,81.094
2010,CI,1,SugarBaby,66.832
2010,CI,1,CalhounGray,88.022
2010,CI,1,StarbriteF1,95.765
2010,CI,1,Legacy,62.757
2010,CI,2,Mickylee,59.089
2010,CI,2,Legacy,42.789
2010,CI,2,GeorgiaRattlesnake,75.797
2010,CI,2,CrimsonSweet,73.352
2010,CI,2,CalhounGray,79.872
2010,CI,2,SugarBaby,59.496
2010,CI,2,StarbriteF1,74.982
2010,CI,2,FiestaF1,81.094
2010,CI,2,EarlyCanada,45.641
2010,CI,2,Quetzali,64.387
2010,CI,3,FiestaF1,67.239
2010,CI,3,SugarBaby,51.346
2010,CI,3,EarlyCanada,67.647
2010,CI,3,Quetzali,68.054
2010,CI,3,Legacy,65.609
2010,CI,3,CrimsonSweet,94.95
2010,CI,3,CalhounGray,86.392
2010,CI,3,GeorgiaRattlesnake,65.202
2010,CI,3,Mickylee,48.901
2010,CI,3,StarbriteF1,83.132
2010,CI,4,CalhounGray,71.722
2010,CI,4,SugarBaby,53.791
2010,CI,4,CrimsonSweet,48.901
2010,CI,4,EarlyCanada,47.271
2010,CI,4,Mickylee,63.164
2010,CI,4,Legacy,94.135
2010,CI,4,GeorgiaRattlesnake,69.277
2010,CI,4,FiestaF1,79.464
2010,CI,4,Quetzali,45.641
2010,CI,4,StarbriteF1,83.947
2010,SC,1,Quetzali,104.384
2010,SC,1,StarbriteF1,79.301
2010,SC,1,GeorgiaRattlesnake,82.745
2010,SC,1,CrimsonSweet,116.731
2010,SC,1,Legacy,58.498
2010,SC,1,Mickylee,43.42
2010,SC,1,FiestaF1,141.956
2010,SC,1,CalhounGray,83.682
2010,SC,1,SugarBaby,45.152
2010,SC,1,EarlyCanada,72.557
2010,SC,2,SugarBaby,51.143
2010,SC,2,CalhounGray,85.19
2010,SC,2,Legacy,74.208
2010,SC,2,Quetzali,63.001
2010,SC,2,EarlyCanada,88.348
2010,SC,2,StarbriteF1,96.152
2010,SC,2,Mickylee,48.168
2010,SC,2,FiestaF1,139.776
2010,SC,2,CrimsonSweet,91.792
2010,SC,2,GeorgiaRattlesnake,113.084
2010,SC,3,Quetzali,75.308
2010,SC,3,CrimsonSweet,136.658
2010,SC,3,Mickylee,59.7
2010,SC,3,Legacy,67.708
2010,SC,3,FiestaF1,95.194
2010,SC,3,EarlyCanada,77.61
2010,SC,3,StarbriteF1,106.951
2010,SC,3,GeorgiaRattlesnake,65.018
2010,SC,3,SugarBaby,61.514
2010,SC,3,CalhounGray,75.414
2010,SC,4,EarlyCanada,61.025
2010,SC,4,GeorgiaRattlesnake,55.666
2010,SC,4,CalhounGray,114.49
2010,SC,4,Legacy,53.812
2010,SC,4,Mickylee,40.853
2010,SC,4,Quetzali,68.767
2010,SC,4,FiestaF1,118.219
2010,SC,4,CrimsonSweet,106.421
2010,SC,4,StarbriteF1,127.326
2010,SC,4,SugarBaby,52.569
2010,FL,1,CrimsonSweet,0
2010,FL,1,Legacy,44.673
2010,FL,1,Quetzali,66.497
2010,FL,1,FiestaF1,15.869
2010,FL,1,SugarBaby,73.064
2010,FL,1,StarbriteF1,54.587
2010,FL,1,CalhounGray,88.303
2010,FL,1,EarlyCanada,119.5
2010,FL,1,Mickylee,114.715
2010,FL,1,GeorgiaRattlesnake,92.999
2010,FL,2,CrimsonSweet,113.437
2010,FL,2,FiestaF1,180.906
2010,FL,2,StarbriteF1,123.836
2010,FL,2,SugarBaby,106.33
2010,FL,2,Legacy,87.727
2010,FL,2,EarlyCanada,107.824
2010,FL,2,Quetzali,110.522
2010,FL,2,GeorgiaRattlesnake,116.064
2010,FL,2,CalhounGray,120.04
2010,FL,2,Mickylee,128.388
2010,FL,3,Mickylee,116.927
2010,FL,3,SugarBaby,90.624
2010,FL,3,FiestaF1,91.469
2010,FL,3,StarbriteF1,146.11
2010,FL,3,CalhounGray,143.339
2010,FL,3,CrimsonSweet,85.028
2010,FL,3,Legacy,118.799
2010,FL,3,Quetzali,72.884
2010,FL,3,GeorgiaRattlesnake,84.165
2010,FL,3,EarlyCanada,119.752
2010,FL,4,Legacy,104.945
2010,FL,4,FiestaF1,107.86
2010,FL,4,Mickylee,93.071
2010,FL,4,GeorgiaRattlesnake,144.545
2010,FL,4,CrimsonSweet,64.698
2010,FL,4,SugarBaby,94.024
2010,FL,4,Quetzali,100.429
2010,FL,4,CalhounGray,132.922
2010,FL,4,EarlyCanada,118.853
2010,FL,4,StarbriteF1,156.635
2010,TX,1,SugarBaby,9.943
2010,TX,1,Legacy,17.971
2010,TX,1,StarbriteF1,24.369
2010,TX,1,CrimsonSweet,27.67
2010,TX,1,FiestaF1,34.231
2010,TX,1,Mickylee,17.645
2010,TX,1,GeorgiaRattlesnake,19.56
2010,TX,1,EarlyCanada,13.122
2010,TX,1,CalhounGray,16.219
2010,TX,1,Quetzali,5.909
2010,TX,2,Quetzali,17.767
2010,TX,2,Legacy,30.156
2010,TX,2,SugarBaby,8.884
2010,TX,2,Mickylee,10.229
2010,TX,2,CrimsonSweet,5.664
2010,TX,2,GeorgiaRattlesnake,13.652
2010,TX,2,EarlyCanada,8.924
2010,TX,2,StarbriteF1,29.218
2010,TX,2,FiestaF1,30.808
2010,TX,2,CalhounGray,23.187
2010,TX,3,Quetzali,8.761
2010,TX,3,Legacy,9.413
2010,TX,3,FiestaF1,4.034
2010,TX,3,GeorgiaRattlesnake,4.157
2010,TX,3,CrimsonSweet,9.78
2010,TX,3,StarbriteF1,27.385
2010,TX,3,Mickylee,11.818
2010,TX,3,EarlyCanada,11.899
2010,TX,3,SugarBaby,9.495
2010,TX,3,CalhounGray,9.454
2010,TX,4,FiestaF1,19.764
2010,TX,4,CalhounGray,19.194
2010,TX,4,SugarBaby,14.181
2010,TX,4,Legacy,5.99
2010,TX,4,CrimsonSweet,19.031
2010,TX,4,Mickylee,11.899
2010,TX,4,GeorgiaRattlesnake,13.855
2010,TX,4,EarlyCanada,13.163
2010,TX,4,Quetzali,6.724
2010,TX,4,StarbriteF1,7.417
